item_id,question,search_plan,correct_answer,reference_passages
item_052,who is the all time leading rusher for penn state,1. Determine the all-time leading rusher for Penn State University,Christian Hackenberg,"[Penn State Nittany Lions football statistical leaders] Career Rank Player Yards Years Christian Hackenberg 8,427 2013 2014 2015 Zack Mills 7,212 2001 2002 2003 2004 Matt McGloin 6,390 2009 2010 2011 2012 Tony Sacca 5,869 1988 1989 1990 1991 5 Daryll Clark 5,742 2006 2007 2008 2009 6 Trace McSorley 5,678 2015 2016 2017 7 Chuck Fusina 5,382 1975 1976 1977 1978 8 Kerry Collins 5,304 1991 1992 1993 1994 9 Anthony Morelli 5,275 2004 2005 2006 2007 10 Todd Blackledge 4,812 1980 1981 1982 11 Wally Richardson 4,419 1992 1994 1995 1996 Single season Rank Player Yards Year Trace McSorley 3,614 2016 Matt McGloin 3,271 2012 Daryll Clark 3,003 2009 Christian Hackenberg 2,977 2014 5 Christian Hackenberg 2,955 2013 6 Kerry Collins 2,679 1994 7 Anthony Morelli 2,651 2007 8 Daryll Clark 2,592 2008 9 Christian Hackenberg 2,525 2015 10 Tony Sacca 2,488 1991 Single game Rank Player Yards Year Opponent Christian Hackenberg 454 2014 UCF ( Croke Park Classic ) Zack Mills 399 2002 Iowa Matt McGloin 395 2012 Indiana Trace McSorley 384 2016 Wisconsin ( B10 CG ) 5 Michael Robinson 379 2003 Wisconsin 6 Trace McSorley 376 2016 Michigan State 7 Christian Hackenberg 371 2014 Boston College ( Pinstripe Bowl ) 8 Mike McQueary 366 1997 Pittsburgh 9 Todd Blackledge 358 1981 Miami ( FL ) 10 Daryll Clark 353 2009 Akron"
item_053,when does chandler tells monica he loves her,"1. Determine the episode and time when Chandler tells Monica he loves her in the TV show ""Friends""",the eighth episode of the fifth season of Friends,"[The One with All the Thanksgivings] `` The One with All the Thanksgivings '' ( also known as `` The One with the Thanksgiving Flashbacks '' ) is the eighth episode of the fifth season of Friends . It first aired on the NBC network in the United States on November 19 , 1998 ."
item_054,Who was born first out of Emma Kealy and Viktor Podloucký?,1. Find Emma Kealy’s date of birth | 2. Find Viktor Podloucký’s date of birth | 3. Compare the two dates to determine who was born first,Viktor Podloucký,
item_055,What was the Plowden Report concerned with,1. Determine the subject of the Plowden Report,Children and their primary school education,
item_056,What year was Tyson Kidd's tag team partner in The Hart Dynasty born?,"1. Identify Tyson Kidd’s tag team partner in The Hart Dynasty | 2. Find the birth year of that partner from a reliable biographical source or database entry for the partner’s profile or filmography page (e.g., WWE.com)",1957,"[The Hart Dynasty] The Hart Dynasty was a professional wrestling stable that appeared in World Wrestling Entertainment.  The unit consisted of the tag team of Tyson Kidd and David Hart Smith, and Natalya as a manager.  The group was named due to the connection of all three wrestlers to the Hart wrestling family; David Hart Smith is the son of Davey Boy Smith, Natalya is the daughter of Jim Neidhart, and Tyson Kidd trained under Bret Hart and at Stu Hart's Dungeon and is married to Natalya. | [Bret Hart] Bret Sergeant Hart (born July 2, 1957), better known by the ring name Bret ""The Hitman"" Hart, is a Canadian-American retired professional wrestler, retired amateur wrestler, writer and actor.  A member of the Hart wrestling family and a second-generation wrestler, he has an amateur wrestling background, wrestling at Ernest Manning High School and Mount Royal College."
item_057,"The 2013–14 Toronto Raptors season is the 19th season of the franchise, in the National Basketball Association (NBA), on December 9, 2013 the Raptors traded which American professional basketball player for the San Antonio Spurs of the National Basketball Association (NBA), and drafted eighth overall in the 2006 NBA draft by the Houston Rockets?","1. Search for details of the 2013–14 Toronto Raptors season trade on December 9, 2013, including the player traded to the San Antonio Spurs | 2. Identify the player described as an American professional basketball player drafted eighth overall in the 2006 NBA draft by the Houston Rockets | 3. Determine the country the identified player is from (American) to confirm the match and provide the country as the answer",Rudy Carlton Gay Jr.,"[2013–14 Toronto Raptors season]  Despite the trade, the Raptors were not expected to make the 2014 playoffs however, with a weak Atlantic Division they found themselves as contenders for the Atlantic Division title despite an early losing record.  On December 9, 2013 the Raptors traded Rudy Gay, Quincy Acy, and Aaron Gray to the Sacramento Kings for John Salmons, Greivis Vásquez, Patrick Patterson, and Chuck Hayes.  The Rudy Gay trade was marked as a turning point for the Raptors as they went on a 10-2 run from a 6-12 record maintaining their division lead and finishing the season with a 48-34 record qualifying for the playoffs for the first time since 2008. | [Rudy Gay] Rudy Carlton Gay Jr. (born August 17, 1986) is an American professional basketball player for the San Antonio Spurs of the National Basketball Association (NBA).  The 6'8"" small forward played college basketball for the University of Connecticut before being drafted eighth overall in the 2006 NBA draft by the Houston Rockets; he was traded to the Memphis Grizzlies days later."
item_058,Arnold Peder Møller's son was born on what date?,"1. Find biographical information on Arnold Peder Møller, including details about his son | 2. Identify the birth date of Arnold Peder Møller’s son from the biographical source or family tree information provided for him",13 July 1913,"[Arnold Peder Møller]  His father was Sea Captain Peter Mærsk Møller.  And he became the father of Mærsk Mc-Kinney Møller. | [Mærsk Mc-Kinney Møller] Arnold Mærsk Mc-Kinney Møller (13 July 1913 – 16 April 2012) was a Danish shipping magnate.  He was a longtime figure at A.P. Moller – Maersk Group, which was founded by his father."
item_059,What county is the city that shares a border with the state capital of the state where Andrew Deveaux was born located in?,"1. Find the city where Andrew Deveaux was born | 2. Determine which state that city is in and identify its state capital | 3. Find the county that the city is located in, noting it shares a border with the state capital of that state (the city itself is the state capital)",Richland County,"[Andrew Deveaux] Andrew Deveaux (30 April 1758 – 11 July 1812) was an American Loyalist from South Carolina who is most famous for his recapture of the Bahamas in 1783. | [Charleston, South Carolina] Although the city lost the status of state capital to Columbia in 1786, Charleston became even more prosperous in the plantation-dominated economy of the post-Revolutionary years. The invention of the cotton gin in 1793 revolutionized the processing of this crop, making short-staple cotton profitable. | [WWNQ] WWNQ is a radio station licensed to Forest Acres, South Carolina, serving the Columbia, South Carolina market. Owned by Midlands Media Group LLC, the station broadcasts a country music format branded as 94.3 The Dude. | [Forest Acres, South Carolina] Forest Acres is a city in Richland County, South Carolina, United States. The population was 10,361 at the 2010 census."
item_060,Where was the place of death of Ermenberga's husband?,1. Identify Ermenberga's husband and his full name | 2. Find the place of death of that husband from a reliable biographical source or filmography entry for him or Ermenberga’s husband’s biography,"Ville de Metz, Divodurum, Metz",
item_061,What was the second single-seat racing car designed by the founder of Lotus Cars?,1. Identify the founder of Lotus Cars | 2. Find the second single-seat racing car designed by that founder from a reliable source on Lotus Cars history and design milestones,The Lotus 16,"[Lotus 16] The Lotus 16 was the second single-seat racing car designed by Colin Chapman, and was built by his Lotus Cars manufacturing company for the Team Lotus racing squad.  The Lotus 16 was constructed to compete in both the Formula One and Formula Two categories, and was the first Lotus car to be constructed for Formula One competition. | [Colin Chapman] Anthony Colin Bruce Chapman CBE (19 May 1928 – 16 December 1982) was an influential English design engineer, inventor, and builder in the automotive industry, and founder of Lotus Cars."
item_062,What is the place of birth of the director of film Must Love Dogs?,1. Identify the director of the film 'Must Love Dogs' | 2. Find the director's place of birth from a reliable biographical source or filmography entry for that director,"Brooklyn, New York, Brooklyn",
item_063,Was Melvin Frank a film critic like French film director Olivier Assayas? ,1. Determine Melvin Frank’s profession and whether he was a film critic | 2. Determine Olivier Assayas’s profession and whether he was a film critic | 3. Compare the two professions to assess whether Melvin Frank was a film critic like Olivier Assayas,no,"[Melvin Frank] Melvin Frank (13 August 1913 in Chicago, Illinois – 13 October 1988 in Los Angeles, California) was an American screenwriter, film producer and film director.  He is known for his work on films such as ""Mr. Blandings Builds His Dream House"" (1948), ""The Court Jester"" (1956), and ""A Touch of Class"" (1973). | [Olivier Assayas] Olivier Assayas (born 25 January 1955) is a French film director, screenwriter and film critic."
item_064,In which city were the 1984 Summer Olympics held?,1. Determine the city where the 1984 Summer Olympics were held.,"City of Los Angeles, California, Sister cities of Los Angeles, L A, Loa Angeles, CA, The Angels, California, El Pueblo de Nuestra Senora la Reina de los Angeles de Porciuncula, Los Angeles, United States of America, L a, Los Angles, GEO:USLAX, LOS ANGELES, The City of Los Angeles, Los Angelos, L. A., The city of L A, Los Angeles City, Englaborg, LOC:USLAX, LA, CA, Los Angeles,CA, Brentwood Circle, Los Angeles, CA, Nuestra Senora la Reina de los Angeles de Porciuncula, The city of L. A., City of Los Angeles, Los Angelos, California, Los Angeles, Calif., USLAX, The city of LA, Los angels, El Pueblo de Nuestra Señora La Reina de los Ángeles de Porciúncula, Los angeles, california, El lay, Los Angeles, L.A., El Pueblo de Nuestra Señora la Reina de los Ángeles del Río de Porciúncula, Los angeles ca, El Pueblo de Nuestra Senora Reina de los Angeles de la Porciuncula, El Pueblo de Nuestra Señora la Reina de los Ángeles de Porciúncula, Los Angeles, California, U.S.A., Los Angeles, United States, LA, California, Los Angeles, Ca., Los Angeles, California, USA, Los angeles, L.a., Los angeles, ca, 72 suburbs in search of a city, Religion in Los Angeles, Los Angeles (Calif.), City of L A, El Pueblo de la Reina de Los Angeles, CA, LA Ca, Los Angeles, California, United States, La-la land, The city of L.A., El Pueblo de Nuestra Señora Reina de los Ángeles de la Porciuncula, Los Angeles California, Los Angeles, USA, City of L.A., L . A ., Los Angeles (CA), El Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula, Nuestra Señora la Reina de los Angeles de Porciúncula, El Pueblo de Nuestra Senora La Reina de los Angeles de Porciuncula, City of los angeles, La-la Land, Los Angeles., Loa Angeles, California, Los Angeles, California, US, Los Angeles, California, Los Angeles, CA., Lost Angeles, California, LA City, Los Ángeles, California, City of LA, El Pueblo de la Reina de Los Angeles, California, L.A, Brentwood Circle, Los Angelas, LA, Los Angeles, California, U.S., City of L. A., Los Angeles, CA, Los angelas, Los Angeles (City), L.a., ca, Las Angeles, Los angeles, calif, Geography of Los Angeles, Environmental issues in Los Angeles, Northern Los Angeles, UN/LOCODE:USLAX",
item_065,When was the company that published National Institutional Ranking Framework founded?,1. Identify the company that published the National Institutional Ranking Framework (NIRF) | 2. Find the founding year of that company from a reliable source on its history or overview page,1985,
item_066,Who was the director of Perfect Understanding?,"1. Find the director of the film ""Perfect Understanding""",Cyril Gardner,
item_067,Where does the city where Veoh's headquarters is located rank in the top five largest urban areas of the state where The Paramour Sessions' performers were formed?,1. Find the city where Veoh's headquarters is located | 2. Identify the state where The Paramour Sessions' performers were formed | 3. Determine the city's rank among the top five largest urban areas in that state (by population) from a reliable source on the state's largest cities by population ranking list for that year (2010),third-largest,"[...To Be Loved] ""...To Be Loved"" is the first single from the band Papa Roach's fourth album, ""The Paramour Sessions"", and eighth released single in total. The song is a slight return to the band early work, starting with a rapping introduction, but as the introduction goes the rapping then goes into fast screaming making it different from the usual rapping of the band's early releases. | [Papa Roach] Papa Roach is an American rock band from Vacaville, California, formed in 1993. The original lineup consisted of lead vocalist Jacoby Shaddix, guitarist Jerry Horton, drummer Dave Buckner, bassist Will James, and trombonist Ben Luther. | [Veoh] Veoh is an Internet television company based in San Diego, California. It allows users to find and watch major studio content, independent productions and user-generated material. | [San Diego] The city had a population of 1,307,402 according to the 2010 census, distributed over a land area of 372.1 square miles (963.7 km2). The urban area of San Diego extends beyond the administrative city limits and had a total population of 2,956,746, making it the third-largest urban area in the state, after that of the Los Angeles metropolitan area and San Francisco metropolitan area. They, along with the Riverside–San Bernardino, form those metropolitan areas in California larger than the San Diego metropolitan area, with a total population of 3,095,313 at the 2010 census."
item_068,when did messi last score in world cup,1. Determine the most recent date Messi scored in the World Cup,26 June 2018,"[List of international goals scored by Lionel Messi] Liberti , Buenos Aires , Argentina Venezuela 3 -- 0 3 -- 0 33 82 14 June 2013 Estadio Mateo Flores , Guatemala City , Guatemala Guatemala 1 -- 0 4 -- 0 Friendly 34 3 -- 0 35 4 -- 0 36 83 10 September 2013 Estadio Defensores del Chaco , Asunción , Paraguay Paraguay 1 -- 0 5 -- 2 2014 FIFA World Cup qualification 37 4 -- 1 38 86 7 June 2014 Estadio Ciudad de La Plata , La Plata , Argentina Slovenia 2 -- 0 2 -- 0 Friendly 39 87 15 June 2014 Maracanã Stadium , Rio de Janeiro , Brazil Bosnia and Herzegovina 2 -- 0 2 -- 1 2014 FIFA World Cup 40 88 21 June 2014 Estádio Mineirão , Belo Horizonte , Brazil Iran 1 -- 0 1 -- 0 41 89 25 June 2014 Estádio Beira - Rio , Porto Alegre , Brazil Nigeria 1 -- 0 3 -- 2 42 2 -- 1 43 95 14 October 2014 Hong Kong Stadium , So Kon Po , Hong Kong Hong Kong 5 -- 0 7 -- 0 Friendly 44 7 -- 0 45 96 12 November 2014 Upton Park , London , England Croatia 2 -- 1 2 -- 1 46 98 13 June 2015 Estadio La Portada , La Serena , Chile Paraguay 2 -- 0 2 -- 2 2015 Copa América 47 104 4 September 2015 BBVA Compass Stadium , Houston , United States Bolivia 5 -- 0 7 -- 0 Friendly 48 6 -- 0 49 105 8 September 2015 AT&T Stadium , Arlington , United States Mexico 2 -- 2 2 -- 2 50 107 29 March 2016 Estadio Mario Alberto Kempes , Córdoba , Argentina Bolivia 2 -- 0 2 -- 0 2018 FIFA World Cup qualification 51 109 10 June 2016 Soldier Field , Chicago , United States Panama 2 -- 0 5 -- 0 Copa América Centenario 52 3 -- 0 53 4 -- 0 54 111 18 June 2016 Gillette Stadium , Foxborough , United States Venezuela 3 -- 0 4 -- 1 55 112 21 June 2016 NRG Stadium , Houston , United States United States 2 -- 0 4 -- 0 56 114 1 September 2016 Estadio Malvinas Argentinas , Mendoza , Argentina Uruguay 1 -- 0 1 -- 0 2018 FIFA World Cup qualification 57 116 15 November 2016 Estadio San Juan del Bicentenario , San Juan , Argentina Colombia 1 -- 0 3 -- 0 58 117 23 March 2017 Estadio Antonio V. Liberti , Buenos Aires , Argentina Chile 1 -- 0 1 -- 0 59 121 10 October 2017 Estadio Olímpico Atahualpa , Quito , Ecuador Ecuador 1 -- 1 3 -- 1 60 2 -- 1 61 3 -- 1 62 124 29 May 2018 La Bombonera , Buenos Aires , Argentina Haiti 1 -- 0 4 -- 0 Friendly 63 2 -- 0 64 3 -- 0 65 127 26 June 2018 Krestovsky Stadium , Saint Petersburg , Russia Nigeria 1 -- 0 2 -- 1 2018 FIFA World Cup"
item_069,Who was the first Best Actor Oscar winner to win in consecutive years?,1. Identify the first Best Actor Oscar winner to win in consecutive years,"Spencer tracy, Spencer Bonaventure Tracy, Spencer Tracy",
item_070,when a company pays to sponsor a program on a non commercial station is called,1. Determine the term for when a company pays to sponsor a program on a non-commercial station,infomercial,"[Infomercial] An infomercial is a form of television commercial , which generally includes a toll - free telephone number or website . Most often used as a form of direct response television ( DRTV ) , long - form infomercials are typically 28 : 30 or 58 : 30 minutes in length ."
item_071,What is the place of birth of J.J. Madan's father?,1. Identify J.J. Madan’s father from a reliable biographical source | 2. Find the place of birth of that father from a reliable biographical source for him or J.J. Madan’s biography,"Bombay, Mumbai",
item_072,who is the most winning nfl coach of all time,1. Determine the NFL coach with the most wins in history,Guy Chamberlin,[List of National Football League head coaches with 50 wins] Green Bay Packers 57 39 59 43 0 . 578 81 Chamberlin Guy Chamberlin * * 1922 -- 1923 Canton Bulldogs 21 0 58 16 7 . 759 1924 Clevelands B !
item_073,What job/title do Mark Hunter and Jeffrey Walker have in common?,1. Find Mark Hunter’s primary job/title from a reliable biographical source | 2. Find Jeffrey Walker’s primary job/title from a reliable biographical source | 3. Identify the common job/title between the two individuals from their respective roles or titles list,vocalist,"[Mark Hunter (musician)] Mark Hunter (born May 26, 1977) is an American musician and photographer and is the vocalist for the heavy metal band Chimaira. | [Jeffrey Walker] Jeffrey Walker (born 25 March 1969) is a bass guitarist, vocalist from Windle, St Helens, UK.  He is best known for his work with death metal band Carcass for which he is also the main lyricist."
item_074,"which movie is the co-writer of Dino Contostavlos of the song ""Best Behaviour"" known for?","1. Identify the co-writer of the song 'Best Behaviour' who is Dino Contostavlos | 2. Find the film that this co-writer is known for, as stated in the question context or filmography sources for Dino Contostavlos",Demons Never Die,"[Best Behaviour (N-Dubz song)] ""Best Behaviour"" is a song by British hip hop group N-Dubz.  The song was produced by Dino Contostavlos and Richard Rawson and co-written by Tula Contostavlos, Mr Hudson, Tony Dixon, Fazer and Dappy.  It was released on 17 October 2010 as the second single from N-Dubz's third studio album, ""Love.Live.Life"". | [Tulisa] Tula Paulina ""Tulisa"" Contostavlos (born 13 July 1988) is an English singer-songwriter, former X Factor judge, actress, and television personality.  Tulisa is known for her role in ""Demons Never Die"", for her debut single as a solo artist titled ""Young"", and for being a part of N-Dubz."
item_075,"Which film came out earlier, Escape To Danger or Two Can Play?",1. Find the release year of the film 'Escape to Danger' | 2. Find the release year of the film 'Two Can Play' (also known as 'Two Can Play That Game') to compare which came out earlier,Two Can Play,
item_076,Who is the author of Disclosure?,"1. Find the author of the book ""Disclosure""","Michael Crichton, John Michael Crichton, Michael Douglas, Jeffery Hudson, John Lange",
item_077,when were the texas rangers baseball team established,1. Determine the establishment year of the Texas Rangers baseball team,"Washington, D.C.","[Texas Rangers (baseball)] The franchise was established in 1961 as the Washington Senators , an expansion team awarded to Washington , D.C. , after the city 's first AL ballclub , the second Washington Senators , moved to Minnesota and became the Twins ( the original Washington Senators played primarily in the National League during the 1890s ) ."
item_078,"Which film was released more recently, The Schimeck Family or A Matter Of Earnestness?",1. Find the release year of 'The Schimeck Family' | 2. Find the release year of 'A Matter of Earnestness' | 3. Compare the two release years to determine which film was released more recently,"A Matter Of Earnestness, A Matter of Earnestness, Matter of Earnestness",
item_079,"Anchored by the star Polaris, the constellation ursa minor represents what animal?","1. Determine the animal represented by the constellation Ursa Minor, which is anchored by the star Polaris","Bear (disambiguation), Bears (disambiguation), Bear (film), The bears, bear, The Bears, The Bear, The Bear (film), The Bear (brand)",
item_080,meaning of the song wanted dead or alive,"1. Determine the meaning of the song ""Wanted Dead or Alive""",the band's anthem,"[Wanted Dead or Alive (Bon Jovi song)] During a February 20 , 2008 encore performance in Detroit , Jon Bon Jovi told the crowd about running into Bob Seger at a Pistons game . As he introduced his song `` Wanted Dead or Alive '' , he said it was inspired by Seger 's `` Turn the Page '' hit and called the song the band 's anthem . The song peaked at # 7 on the Billboard Hot 100 chart and # 13 on the Mainstream Rock Tracks chart , making it the third single from the album to reach the Top 10 of the Hot 100 ."
item_081,ancient harp like musical instrument in the zither family,1. Identify an ancient harp-like musical instrument belonging to the zither family,Alpine zithers,"[Zither] Alpine zithers are tuned in a similar manner to the concert zither , with the accompaniment and bass strings each providing a full set of 12 chromatic pitches also arranged in a cycle of fifths . Contrabass strings are arranged in a descending chromatic scale ."
item_082,What radio station do you find at 98.9 on your local FM dial?,1. Determine which radio station is broadcast on 98.9 FM in the local area.,"Click 98.9, KWJZ",
item_083,when does the regular season of nfl football start,1. Determine the start date of the regular season of NFL football,"September 7, 2017","[2017 NFL season] The 2017 NFL season is the 98th and current season in the history of the National Football League ( NFL ) . The season began on September 7 , 2017 , with the Kansas City Chiefs defeating the defending Super Bowl LI champion New England Patriots 42 -- 27 in the NFL Kickoff Game . The season will conclude with Super Bowl LII , the league 's championship game , on February 4 , 2018 , at U.S."
item_084,who sings the theme song to rules of engagement,1. Find the artist who sings the theme song to *Rules of Engagement*,Señor Happy,[Rules of Engagement (TV series)] Rules of Engagement Created by Tom Hertz Starring David Spade Patrick Warburton Megyn Price Oliver Hudson Bianca Kajlich Adhir Kalyan Opening theme `` How Many Ways '' by Señor Happy Composer ( s ) Bert Selen George Ritter Country of origin United States No. of seasons 7 No.
item_085,when did the korean conflict become a war,1. Determine the date when the Korean conflict escalated into a full-scale war,25 June 1950,"[Korean War] The Korean War ( in South Korean Hangul : 한국 전쟁 ; Hanja : 韓國 戰爭 ; RR : Hanguk Jeonjaeng , `` Korean War '' ; in North Korean Chosŏn'gŭl : 조국 해방 전쟁 ; Hancha : 祖國 解放 戰爭 ; MR : Choguk haebang chǒnjaeng , `` Fatherland : Liberation War '' ; 25 June 1950 -- 27 July 1953 ) was a war between North Korea ( with the support of China and the Soviet Union ) and South Korea ( with the principal support of the United States ) . The war began on 25 June 1950 when North Korea invaded South Korea following a series of clashes along the border . The United Nations , with the United States as the principal force , came to the aid of South Korea ."
item_086,when does the new overlord episode come out,"1. Determine the release date of the new ""Overlord"" episode","August 28, 2018","[List of Overlord episodes] Foresight is teleported to the 6th Floor Arena , where they are introduced as invaders and will be facing Ainz himself . 8 34 `` A Handful of Hope '' `` Hitonigiri no Kibō '' ( 一 握り の 希望 ) August 28 , 2018"
item_087,Which radio broadcaster was known as the Man In Black,1. Identify the radio broadcaster known as the Man In Black,Valentine Dyall,
item_088,Which former outfielder born in 1975 hosted Game 1 of the 2014 National League Championship Series?,1. Find the host of Game 1 of the 2014 National League Championship Series | 2. Determine the host’s birth year and confirm he is a former outfielder born in 1975 to match the description,Gabe Kapler,"[2014 National League Championship Series]  The series was the 45th in league history with Fox airing Game 1 and Fox Sports 1 airing Games 2–5 in the United States.  Game 1 was simulcast on Fox Sports 1 and was hosted by Kevin Burkhardt, Gabe Kapler and C.J. Nitkowski, who offered sabermetric analysis of the game. | [Gabe Kapler] Gabriel Stefan ""Gabe"" Kapler (born July 31, 1975) is a former Major League Baseball outfielder."
item_089,when did the us break away from england,1. Determine the date the United States broke away from England,"September 3, 1783","[American Revolution] A combined American -- French force captured a second British army at Yorktown in the fall of 1781 , effectively ending the war in North America . The Treaty of Paris , signed September 3 , 1783 , formally ended the conflict , confirming the new nation 's complete separation from the British Empire . The United States took possession of nearly all the territory east of the Mississippi River and south of the Great Lakes , with the British retaining control of Canada and Spain taking Florida ."
item_090,who played maggie horton on days of our lives,"1. Find the actor who portrayed Maggie Horton on the TV show ""Days of Our Lives""",Suzanne Rogers (born Suzanne Cecelia Crumpler,"[Suzanne Rogers] Suzanne Rogers ( born Suzanne Cecelia Crumpler ; July 9 , 1943 ) is an American actress with film and television credits . Her stage name was inspired by Ginger Rogers , whom she cites as a personal inspiration for joining the entertainment industry ."
item_091,Who is the author of The Story of the Daughters of Quchan?,"1. Find the author of ""The Story of the Daughters of Quchan""",Afsaneh Najmabadi,
item_092,who sang with meatloaf on bat out of hell,"1. Identify the musicians who performed with Meatloaf on the album ""Bat Out of Hell""",Todd Rundgren,"[Bat Out of Hell] Meat Loaf -- lead vocals , backing vocals ( 6 ) , percussion ( 2 ) Todd Rundgren -- guitar ( 1 , 2 , 4 -- 6 ) , percussion ( 1 , 2 ) , keyboards ( 1 ) , backing vocals ( 1 -- 3 , 5 , 6 ) Kasim Sulton -- bass guitar ( 1 , 2 , 4 -- 7 ) , backing vocals ( 1 ) Roy Bittan -- piano , keyboards ( 1 - 2 , 6 ) Steve Margoshes -- piano ( 7 ) Cheryl Hardwick -- piano ( 7 ) Jim Steinman -- keyboards ( 1 , 2 , 6 ) , percussion ( 1 , 2 ) , `` lascivious effects '' ( 6 ) Roger Powell -- synthesizer ( 1 , 2 , 5 , 6 ) Edgar Winter -- saxophone ( 2 , 4 , 6 ) Max Weinberg -- drums ( 1 , 2 , 6 ) John `` Willie '' Wilcox -- drums ( 4 , 5 , 7 ) Phil `` Scooter '' Rizzuto -- play - by - play ( 6 ) Ellen Foley -- featured vocal ( 6 ) , backing vocals ( 1 , 2 , 4 , 6 ) Rory Dodd -- backing vocals ( all except 4 ) Gene Orloff -- concert master ( 7 ) Members of New York Philharmonic and Philadelphia Orchestra -- orchestra ( 7 )"
item_093,Did Edmund Berkeley market both Geniac and Commodore International ?,"1. Find Edmund Berkeley’s professional roles and companies he was associated with, including whether he marketed Geniac | 2. Find whether Commodore International is a company that Edmund Berkeley marketed for or is associated with in his professional roles | 3. Determine if Edmund Berkeley marketed both Geniac and Commodore International based on the identified associations and roles",no,"[Geniac] Geniac was an educational toy billed as a ""computer"" designed and marketed by Edmund Berkeley, with Oliver Garfield from 1955 to 1958, but with Garfield continuing without Berkeley through the 1960s.  The name stood for ""Genius Almost-automatic Computer"" but suggests a combination of the words genius and ENIAC (the first fully electronic general-purpose computer). | [Commodore International] Commodore International (or Commodore International Limited) was a North American home computer and electronics manufacturer.  Commodore International (CI), along with its subsidiary Commodore Business Machines (CBM), participated in the development of the home–personal computer industry in the 1970s and 1980s.  The company developed and marketed the world's best-selling desktop computer, the Commodore 64 (1982), and released its Amiga computer line in July 1985."
item_094,How were the same people who the Somali Muslim Ajuran Empire declared independence from expelled from the natural boundary between Thailand and the country Setthathirath is a citizen of?,"1. Identify the country Setthathirath is a citizen of | 2. Determine the natural boundary between Thailand and that country | 3. Find how the same people who the Somali Muslim Ajuran Empire declared independence from were expelled from that natural boundary region (the Malay Peninsula) in the 13th century, including the method of expulsion used by the Ayutthaya Kingdom against the Malay Sultanate of Malacca in the 14th century to draw a parallel to the Ajuran Empire’s independence declaration context.",The dynasty regrouped and defeated the Portuguese,"[Vat Yotkeo] Vat Yotkeo was a temple in Laos which was built between during the rule of King Sai Setthathirat. It was destroyed in 1828 by the Thais, who burned and pillaged Vientiane following the defeat of the last king of the Vientiane dynasty of Lan Xang, Chao Anouvong. | [Geography of Myanmar] Myanmar (also known as Burma) is the northwestern-most country of mainland Southeast Asia, bordering China, India, Bangladesh, Thailand and Laos. It lies along the Indian and Eurasian Plates, to the southeast of the Himalayas. | [Ottoman Empire] The discovery of new maritime trade routes by Western European states allowed them to avoid the Ottoman trade monopoly. The Portuguese discovery of the Cape of Good Hope in 1488 initiated a series of Ottoman-Portuguese naval wars in the Indian Ocean throughout the 16th century. The Somali Muslim Ajuran Empire, allied with the Ottomans, defied the Portuguese economic monopoly in the Indian Ocean by employing a new coinage which followed the Ottoman pattern, thus proclaiming an attitude of economic independence in regard to the Portuguese. | [Myanmar] The dynasty regrouped and defeated the Portuguese in 1613 and Siam in 1614. It restored a smaller, more manageable kingdom, encompassing Lower Myanmar, Upper Myanmar, Shan states, Lan Na and upper Tenasserim."
item_095,What is the date of birth of Margravine Louise Charlotte Of Brandenburg's mother?,"1. Identify Margravine Louise Charlotte of Brandenburg’s mother | 2. Find the mother’s date of birth from a reliable biographical source on Margravine Louise Charlotte of Brandenburg’s mother (e.g., a biographical dictionary or encyclopedia entry)",19 November 1597,
item_096,who played the ladybug in a bug's life,"1. Find the actor who portrayed the ladybug in the movie ""A Bug's Life""",Denis Leary,"[A Bug's Life] Joe Ranft as Heimlich , a plump , German - accented caterpillar that longs to be a butterfly . Denis Leary as Francis , a short - tempered ladybug that is constantly mistaken for a female . Jonathan Harris as Manny , a praying mantis and magician in P.T."
item_097,what are the names of florida georgia line,1. Find the names of the members of the Florida Georgia Line,Tyler Hubbard,"[Florida Georgia Line] Florida Georgia Line ( sometimes abbreviated as FGL ) is an American country music duo consisting of vocalists Tyler Hubbard and Brian Kelley . Their 2012 debut single `` Cruise '' , which remains their most popular song , broke two major sales records : it was downloaded over seven million times , making it the first country song ever to receive the Diamond certification , and it became the best - selling digital country song of all time , with 24 weeks at number one , until it was surpassed in July 2017 by Sam Hunt 's `` Body Like a Back Road '' ."
item_098,Where was the place of death of Joseph Ferdinand Of Bavaria's father?,"1. Identify Joseph Ferdinand of Bavaria’s father | 2. Find the place of death of that father from a reliable biographical source on Joseph Ferdinand of Bavaria’s father (e.g., a biographical entry or encyclopedic source)","Muenchen, München, Munchen, Monachium, Minga, Munich",
item_099,In what country is Vaiea?,1. Determine the country where Vaiea is located,"Niue, Niuē, nu, 🇳🇺",
